date,production_10k,year,month,quarter,production_missing_flag,production_filled_10k,production_before_cap_10k,production_yoy,production_level,month_name
2010-02-01,61.8,2010,2,1,0,61.8,61.8,0.0,低产量,02月
2010-03-01,89.7,2010,3,1,0,89.7,89.7,0.0,中低产量,03月
2010-04-01,78.6,2010,4,2,0,78.6,78.6,0.0,低产量,04月
2010-05-01,71.8,2010,5,2,0,71.8,71.8,0.0,低产量,05月
2010-06-01,72.1,2010,6,2,0,72.1,72.1,0.0,低产量,06月
2010-07-01,67.7,2010,7,3,0,67.7,67.7,0.0,低产量,07月
2010-08-01,70.1,2010,8,3,0,70.1,70.1,0.0,低产量,08月
2010-09-01,84.4,2010,9,3,0,84.4,84.4,0.0,中低产量,09月
2010-10-01,83.7,2010,10,4,0,83.7,83.7,0.0,低产量,10月
2010-11-01,96.9,2010,11,4,0,96.9,96.9,0.0,中高产量,11月
2010-12-01,103.4,2010,12,4,0,103.4,103.4,0.0,高产量,12月
2011-01-01,96.3,2011,1,1,1,96.3,96.30000000000001,0.0,中低产量,01月
2011-02-01,66.6,2011,2,1,0,66.6,66.6,0.0777,低产量,02月
2011-03-01,99.2,2011,3,1,0,99.2,99.2,0.1059,中高产量,03月
2011-04-01,81.3,2011,4,2,0,81.3,81.3,0.0344,低产量,04月
2011-05-01,75.9,2011,5,2,0,75.9,75.9,0.0571,低产量,05月
2011-06-01,84.8,2011,6,2,0,84.8,84.8,0.1761,中低产量,06月
2011-07-01,77.7,2011,7,3,0,77.7,77.7,0.1477,低产量,07月
2011-08-01,82.4,2011,8,3,0,82.4,82.4,0.1755,低产量,08月
2011-09-01,93.0,2011,9,3,0,93.0,93.0,0.1019,中低产量,09月
2011-10-01,89.5,2011,10,4,0,89.5,89.5,0.0693,中低产量,10月
2011-11-01,98.3,2011,11,4,0,98.3,98.3,0.0144,中高产量,11月
2011-12-01,98.1,2011,12,4,0,98.1,98.1,-0.0513,中高产量,12月
2012-01-01,96.3,2012,1,1,1,96.3,96.30000000000001,0.0,中低产量,01月
2012-02-01,87.5,2012,2,1,0,87.5,87.5,0.3138,中低产量,02月
2012-03-01,100.0,2012,3,1,0,100.0,100.0,0.0081,中高产量,03月
2012-04-01,93.3,2012,4,2,0,93.3,93.3,0.1476,中低产量,04月
2012-05-01,92.7,2012,5,2,0,92.7,92.7,0.2213,中低产量,05月
2012-06-01,90.4,2012,6,2,0,90.4,90.4,0.066,中低产量,06月
2012-07-01,86.2,2012,7,3,0,86.2,86.2,0.1094,中低产量,07月
2012-08-01,89.3,2012,8,3,0,89.3,89.3,0.0837,中低产量,08月
2012-09-01,100.2,2012,9,3,0,100.2,100.2,0.0774,中高产量,09月
2012-10-01,93.4,2012,10,4,0,93.4,93.4,0.0436,中低产量,10月
2012-11-01,103.0,2012,11,4,0,103.0,103.0,0.0478,中高产量,11月
2012-12-01,104.8,2012,12,4,0,104.8,104.8,0.0683,高产量,12月
2013-01-01,96.3,2013,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2013-02-01,74.9,2013,2,1,1,74.9,74.9,-0.144,低产量,02月
2013-03-01,114.4,2013,3,1,0,114.4,114.4,0.144,高产量,03月
2013-04-01,109.7,2013,4,2,0,109.7,109.7,0.1758,高产量,04月
