category,text
sci.space,"Sounds liek what the FED has to do is sign a 50 or more year lease to use
certain parts of a space station that is built and designed and such by a
commerical company or consortium of companies (such as like Alyeska) for a
small amount of rent in return for certain incentives and such.. Such as tax
and other right off and also a monopoly on certain products.. The commerical
builders would have certain perks given to them to make there end easier (taxes
, contracts, regulatory concesions and such..)

Is it workable, just might work..

After all, if China can lease out Hong Kong and the people of Hong Kong can
make money, this could work.."
sci.space,"



First I've heard of it. Offhand:

Griffin is no longer an ""office"" head, so that's bad.

On the other hand:

Regress seemed to think: we can't fund anything by Griffin, because
that would mean (and we have the lies by the old hardliners about the
$ 400 billion mars mission to prove it) that we would be buying into a
mission to Mars that would cost 400 billion. Therefore there will be
no Artemis or 20 million dollar lunar orbiter et cetera...

They were killing Griffin's main program simply because some sycophants
somewhere had Congress beleivin that to do so would simply be to buy into
the same old stuff. Sorta like not giving aid to Yeltsin because he's
a communist hardliner.

At least now the sort of reforms Griffin was trying to bring forward
won't be trapped in their own little easily contained and defunded
ghetto. That Griffin is staying in some capacity is very very very
good. And if he brings something up, noone can say ""why don't you go
back to the OSE where you belong"" (and where he couldn't even get money
for design studies)."
sci.space,"The home office number for ENVIRONET is (301) 286-5690 (note area
code change).  A friend of mine used to use it to get LDEF data, but
he had to apply for a login name and password.  I have a call in for
more info, which I hope to get in the morning."
sci.space,"

Dennis, I have worked on or written proposals worth tens of millions
of $$. Customers included government (including NASA), for profit and
non-profit companies. All expected a wrap (usually called a fee). Much
of the work involved allocating and costing the work of subcontractors.
The subcontractors where universities, for-profits, non-profits, and
even some of the NASA Centers for the Commercialization of Space. ALL
charged fees as part of the work. Down the street is one of the NASA
commercialization centers; they charge a fee.

Now, I'm sure your a competent engineer Dennis, but you clearly lack
experience in several areas. Your posts show that you don't understand
the importance of integration in large projects. You also show a lack
of understanding of costing efforts as shown by your belief that it
is reasonable to charge incremental costs for everything. This isn't
a flame, jsut a statement.

Your employer DOES charge a fee. You may not see it but you do.



Well there you are Dennis. As I said, they simply include the fee in
their overhead. Many seoparate the fee since the fee structure can
change depending on the customer.


Integration, Dennis, isn't overhead.


Dennis, Reston has been the only NASA agency working to reduce costs. When
WP 02 was hemoraging out a billion $$, the centers you love so much where
doing their best to cover it up and ignore the problem. Reston was the
only place you would find people actually interested in solving the
problems and building a station.


When you have a bit more experience Dennis, you will realize that
integration isn't overhead. It is the single most important part
of a successful large scale effort.


The story you refer to said that some NASA people blamed it on
Congress. Suprise suprise. The fact remains that it is the centers
you support so much who covered up the overheads and wouldn't address
the problems until the press published the story.

Are you saying the Reston managers where wrong to get NASA to address
the overruns? You approve of what the centers did to cover up the overruns?


You should know Dennis that NASA doesn't include transport costs for
resuply. That comes from the Shuttle budget. What they where saying
is that operational costs could be cut in half plus transport.


I do hope you can find the time to tell us just why it was wrong of
Reston to ask that the problems with WP 02 be addressed.

  Allen
"
sci.space,"


No. I estimate a 99 % probability the Gehrels referred to
is Thomas Gehrels of the Spacewatch project, Kitt Peak observatory.

Maybe in the 24th century they could do gamma ray spectroscopy on
distant asteroids with an orbiting observatory, but here in the
primitive 20th we have to send a probe there to get gamma ray
spectroscopy done.


You have the info on Mayan Television yet?
"
sci.space,"
  I might suggest giving the management some more mumble time by asking
the very leading question (in two or three parts)
   What are your long term expectations of space market, what projects
specifically are they funding by internal funds and at what levels
and what competition do you expect in this  area. (This last point
is always worth hitting upper management with ""gently"" if you want 
them to think and as hard as you can if you have a good case that
there really is competion)
"
sci.space,"


Actually, that is no longer true. In the last few years Congress has
ammended laws to provide whatever is needed. Note that both Spacehab
and Comet are funded this way.

The problems aren't legal nor technical. The problem is NASA's culture.

  Allen
"
sci.space,"
 >In article <1993Apr19.020359.26996@sq.sq.com>, msb@sq.sq.com (Mark Brader) 

MB>                                                             So the
MB> 1970 figure seems unlikely to actually be anything but a perijove.

JG>Sorry, _perijoves_...I'm not used to talking this language.

Couldn't we just say periapsis or apoapsis?

 "
sci.space,"





Phil> Didn't one of the early jet fighters have these?  I also think
Phil> the germans did some work on these in WWII.

The NACA came up with them before World War II.  NASA is directly
descended from the NACA, with space added in.

You'll notice that I didn't mention sweep wings even though the
X-5, tested at what's now Dryden, had them.  We did steal that one
dirctly from the Germans.  The difference is that swept wings don't
change their angle of sweep, sweep wings do.  Perhaps the similarity
of names has caused some confusion?  747s have swept wings, F-111s
have sweep wings.


Phil> A lot of this was also done by the military...

After NASA aerodynamicists proposed them and NASA test teams
demonstrated them.  Richard Whitcomb and R.T. Jones, at Langley
Research Center, were giants in the field.

Dryden was involved in the flight testing of winglets and area
ruling (in the 70s and 50s, respectively).  It's true that we
used military aircraft as the testbeds (KC-135 and YF-102) but
that had more to do with availability and need than with military
involvement.  The YF-102 was completely ours and the KC-135 was
bailed to us.  The Air Force, of course, was interested in our
results and supportive of our efforts.

Dryden flew the first digital fly by wire aircraft in the 70s. No
mechnaical or analog backup, to show you how confident we were.
General Dynamics decided to make the F-16 flyby-wire when they saw how
successful we were.  (Mind you, the Avro Arrow and the X-15 were both
fly-by-wire aircraft much earlier, but analog.)

Phil> Egad! I'm disagreeing with Mary Shafer!  

The NASA habit of acquiring second-hand military aircraft and using
them for testbeds can make things kind of confusing.  On the other
hand, all those second-hand Navy planes give our test pilots a chance
to fold the wings--something most pilots at Edwards Air Force Base
can't do.

"
sci.space,"
I don't think you're going to be able to see the differences from a sphere
unless they are greatly exaggerated.  Even the equatorial bulge is only
about 1 part in 300 -- you'd never notice a 1mm error in a 30cm globe --
and the other deviations from spherical shape are much smaller."
sci.space,"
Actually, the idea, like most good ideas, comes from Jules Verne, not
_The Gods Must Be Crazy._  In one of his lesser known books (I can't
remember which one right now), the protagonists are in a balloon gondola,
travelling over Africa on their way around the world in the balloon, when
one of them drops a fob watch.  They then speculate about the reaction
of the natives to finding such a thing, dropped straight down from heaven.
But the notion is not pursued further than that."
sci.space,"
You're assuming that ""go solar"" = ""photovoltaic"".  Solar dynamic power
(turbo-alternators) doesn't have this problem.  It also has rather less
air drag due to its higher efficiency, which is a non-trivial win for big
solar plants at low altitude.

Now, you might have to replace the *rest* of the electronics fairly often,
unless you invest substantial amounts of mass in shielding.


References?  Such treaties have been *proposed*, but as far as I know,
none of them has ever been negotiated or signed."
sci.space,"
I attended a colloquium at Goddard last fall where the head of the 
operations section of NASA was talking about what future missions
were going to be funded.  I don't remember his name or title off hand
and I have discarded the colloquia announcement. In any case, he was 
asked about that very matter: ""Why can't we spend a few million more
to keep instruments that we already have in place going?""

His responce was that there are only so many $ available to him and
the lead time on an instrument like a COBE, Magellan, Hubble, etc
is 5-10 years minumum.  If he spent all that could be spent on using
current instruments in the current budget enviroment he would have
very little to nothing for future projects.  If he did that, sure
in the short run the science would be wonderful and he would be popular,
however starting a few years after he had retired he would become
one of the greatest villans ever seen in the space community for not
funding the early stages of the next generation of instruments.  Just
as he had benefited from his predicessor's funding choices, he owed it
to whoever his sucessor would eventually be to keep developing new
missions, even at the expense of cutting off some instruments before
the last drop of possible science has been wrung out of them.

"
sci.space,"For an essay, I am writing about the space shuttle and a need for a better
propulsion system.  Through research, I have found that it is rather clumsy 
(i.e. all the checks/tests before launch), the safety hazards (""sitting
on a hydrogen bomb""), etc..  If you have any beefs about the current
space shuttle program Re: propulsion, please send me your ideas.

Thanks a lot.
"
sci.space,"I am looking for a source of orbital element sets
other than UAF/Space Command.  I believe there is
one on CompuServe.  Please let me know what other
possible sources there are and how I can reach 
them.  Thanks much.
"
sci.space,"The only ether I see here is the stuff you must
have been breathing before you posted...
"
sci.space,"

Kerry-- I'm guessing a little at this, because it's been a few years 
since I saw the info, but you will probably want to look at Air Defense 
Artillery as a specialty, or possibly Signals.  The kind of thing you're 
looking for is SDI-type assignments, but it'll be pretty prosaic stuff.
Things like hard-kill ATBM missiles, some of the COBRA rigs -- that kind 
of thing.  

Hope that gives you some ideas on where to look, though.
"
sci.space,"If the  new  Kuiper belt object *is*  called 'Karla', the next
one  should be called 'Smiley'."
sci.space,"
In fact, you probably want to avoid US Government anything for such a
project.  The pricetag is invariably too high, either in money or in
hassles.

The important thing to realize here is that the big cost of getting to
the Moon is getting into low Earth orbit.  Everything else is practically
down in the noise.  The only part of getting to the Moon that poses any
new problems, beyond what you face in low orbit, is the last 10km --
the actual landing -- and that is not immensely difficult.  Of course,
you *can* spend sagadollars (saga- is the metric prefix for beelyuns
and beelyuns) on things other than the launches, but you don't have to.

The major component of any realistic plan to go to the Moon cheaply (for
more than a brief visit, at least) is low-cost transport to Earth orbit.
For what it costs to launch one Shuttle or two Titan IVs, you can develop
a new launch system that will be considerably cheaper.  (Delta Clipper
might be a bit more expensive than this, perhaps, but there are less
ambitious ways of bringing costs down quite a bit.)  Any plan for doing
sustained lunar exploration using existing launch systems is wasting
money in a big way.

Given this, questions like whose launch facilities you use are *not* a
minor detail; they are very important to the cost of the launches, which
dominates the cost of the project."
sci.space,"With the continuin talk about the ""End of the Space Age"" and complaints 
by government over the large cost, why not try something I read about 
that might just work.

Announce that a reward of $1 billion would go to the first corporation 
who successfully keeps at least 1 person alive on the moon for a year. 
Then you'd see some of the inexpensive but not popular technologies begin 
to be developed. THere'd be a different kind of space race then!
"
sci.space,"Forwarded from Neal Ausman, Galileo Mission Director

                                 GALILEO
                     MISSION DIRECTOR STATUS REPORT
                               POST-LAUNCH
                           April 16 - 22, 1993


SPACECRAFT

1.  On April 19, cruise science Memory Readouts (MROs) were performed for the
Extreme Ultraviolet Spectrometer (EUV), Dust Detector (DDS), and Magnetometer
(MAG) instruments.  Preliminary analysis indicates the data was received
properly.

2.  On April 19, a Command Detector Unit Signal-to-Noise Ratio (CDUSNR) test
and a Radio Frequency Subsystem Automatic Gain Control (RFSAGC) test were
performed using the LGA-1 (Low Gain Antenna #1) over DSS-63 (Madrid 70 meter
antenna) and DSS-61 (Madrid 34 meter antenna), respectively.  Data analysis
is in process.  These tests are periodically performed to provide detailed
information relative to the telecom command hardware integrity.

3.  On April 19, a NO-OP command was sent to reset the command loss timer to
264 hours, its planned value during this mission phase.

4.  On April 21, the first of two suppressed carrier/DSN (Deep Space Network)
advanced receiver characterization tests was performed over DSS-14 (Goldstone
70 meter antenna).  The spacecraft modulation index was varied from 43 degrees
to 90 degrees for a range of ground receiver bandwidth settings.

5.  The AC bus imbalance measurement has not exhibited significant change
(greater than 25 DN) throughout this period but the DC bus imbalance
measurement has.  The AC measurement reads 20 DN (4.5 volts).  The DC
measurement has ranged from 43 DN (4.6 volts) to 138 DN (16.2 volts) and
currently reads 138 DN (16.2 volts).  These measurements are consistent with
the model developed by the AC/DC special anomaly team.

6.  The Spacecraft status as of April 22, 1993, is as follows:

       a)  System Power Margin -  68 watts
       b)  Spin Configuration - Dual-Spin
       c)  Spin Rate/Sensor - 3.15rpm/Star Scanner
       d)  Spacecraft Attitude is approximately 21 degrees
           off-sun (lagging) and 5 degrees off-earth (leading)
       e)  Downlink telemetry rate/antenna- 40bps(coded)/LGA-1
       f)  General Thermal Control - all temperatures within
           acceptable range
       g)  RPM Tank Pressures - all within acceptable range
       h)  Orbiter Science- Instruments powered on are the PWS,
           EUV, UVS, EPD, MAG, HIC, and DDS
       i)  Probe/RRH - powered off, temperatures within
           acceptable range
       j)  CMD Loss Timer Setting - 264 hours
           Time To Initiation - 184 hours


TRAJECTORY

     As of noon Thursday, April 22, 1993, the Galileo Spacecraft trajectory
status was as follows:

	Distance from Earth         169,747,800 km (1.14 AU)
	Distance from Sun           286,967,900 km (1.92 AU)
	Heliocentric Speed          91,200 km per hour
	Distance from Jupiter       532,735,900 km
	Round Trip Light Time       18 minutes, 58 seconds


SPECIAL TOPIC"
sci.space,"



In fact, you can all direct your ire at the proper target by ingoring NASA 
altogether.  The rocket is a commercial launch vechicle - a Conestoga flying 
a COMET payload.  NASA is simply the primary customer.  I believe SDIO has a
small payload as well.  The advertising space was sold by the owners of the
rocket, who can do whatever they darn well please with it.  In addition, these
anonymous ""observers"" had no reason to be startled.  The deal made Space News
at least twice. 




I think its only fair to find that out before everyone starts having a hissy
fit.  The fact that they bothered to use the conditional tense suggests that
it has not yet been approved.

"
sci.space,"You forget that Apollo was a Government program and had to start 
relatively from scratch. Some people at NASA think that this could work. 
One of them replied to me personally after I posted this original message 
several days ago. I have heard Jerry Pournelle suggest this idea before.
"
sci.space,"[Also posted in misc.forsale.wanted,misc.wanted,ne.wanted,ny.wanted,nj.wanted]

WANTED:  Optical Shaft Encoders

Quantity 2
Single-ended
Incremental

Needed to encode the movements of a 16"" Cassegrain telescope.  The telescope
is in the observatory of the Univ. of Mass. at Boston.  The project is being
managed by Mr. George Tucker, a graduate student at UMB.  Please call him, or
email/call me, if you have one or two of the specified type of encoder.  Of
course, due to our low funding level we are looking for a price that is
sufficiently lower than that given for new encoders.  :)

George Tucker
617-965-3408

ME:"
sci.space,"Speech by Pete Worden
                                    
          Delivered Before the U.S. Space Foundation Conference
                                    
                       Colorado Springs, Colorado
                                    
                             April 15, 1993


     What a delightful opportunity to cause some trouble.  For
providing me this forum I would sincerely like to thank the U.S.
Space Foundation.  My topic today is the Single Stage Rocket
Technology rocket or SSRT.  By I intend to speak of more.  How to
lower the cost and make rapid progress.  SSRT is to my mind --
and I hope to convince you -- the erupting a new rallying cry for
our generation in space -- Faster, Cheaper, and Better.

     Faster, Cheaper, Better and SSRT represent the passing of a
torch from one technical generation to another.  It is a new
thing to be sure -- but it is also a relearning of old things
from past masters.

     When we rolled out the SSRT baby two weeks ago, so called
experts told us it violates the laws of physics -- it made no
sense.  For example, Dr. Eberhart Rachtin - former president of
the Aerospace Corp., said of SSRT in the L.A. Times that it,
""defies the best principles of launching payloads into space."" 
Well Dr. Rachtin -- you've made us mad!  What are these
principles that SSRT defies?

     Well I'll tell you.  It violates the principle that you need
a giant program office to build space hardware.  It violates the
""fact"" that it takes 20 years to build something new.  And it
violates the truism that you cant do anything significant for
less than many billions of dollars.

     It took some of the last generation's experts to teach us
some new/old lessons.  Werhner Von Braun's first rocket was not a
Saturn V.  General Schriever's ICBM's didn't take ten years to
demonstrate.  And the X-1 airplane didn't cost $1 billion.

     It took one of the great engineers of the 1950's to remind
us of these truths -- Max Hunter.  Max, to remind you, was a
senior engineer in the Thor IRBM program, and old faster, better,
cheaper success story.  Max has been persistent in a vision of a
single stage reusable space launch system since the 1960's. 
Because he knew it had to be done in affordable steps - Build a
little, Test a little.

     Next he persuaded us to do a technology demonstration.  We
didn't solicit a bunch of requirements -- they'd just change
every few years anyway.  [ not included in the speech -- The
ALS/NLS has such ephemeral requirements that it would better
known as ""Shape Shifter"" than ""Space Lifter.""  We didn't spend a
lot money -- this X-Rocket only cost $60 million.  When's the
last time we even built a new airplane for that?  And it didn't
take a lot of time to build -- McDonnell Douglas completed it in
18 months.  Finally, the government program office consisted of
one very over-worked Air Force Major -- motivated in part by the
threat that he'd get to ride on it in a strapped-on lawn chair if
it ran over cost or schedule.

     As I described what SSRT is -- and isn't keep in mind its
only a first step.  There are several more steps -- and steps
that can easily fail -- before the U.S. can field an SSTO.  But
each step should follow the same principles -- a small management
team -- a few years technology demonstration -- and a modest
budget.

     Let me show a few details on SSRT and how it might evolve:
(See charts)

     I'm embarrassed when my generation is compared with the last
generation -- the giants of the last great space era, the 1950's
and 1960's.  They went to the moon - we built a telescope that
can't see straight.  They soft-landed on Mars - the least we
could do is soft-land on Earth!

     But we do have an answer.  We can follow their build a
little, test a little philosophy to produce a truly affordable
and routine access to space.  I know there are nay sayers among
you -- those who say SSRT is a stunt.  It needs more thermal
protection, the engines are wrong, it would be better to land
horizontally, etc, etc.

     I say to you -- we'll see you at White Sands in June.  You
bring your view-graphs, and I'll bring my rocketship.  If we do
what we say we can do, then you let us do the next step.  [ not
included in the speech:  If we fail -- you still have your
program offices, staff summary sheets, requirement analyses, and
decade long programs.]"
sci.space,"



YES! Give me his name I would greatly appreciate it.



Rich"
sci.space,"of


A transporter operator!?!?  That better be one important transport.  Usually  
it is a nameless ensign who does the job.  For such a guest appearance I would  
have expected a more visible/meaningful role.

---
---------------------------------------------------------------------"
sci.space,"The most current orbital elements from the NORAD two-line element sets are
carried on the Celestial BBS, (513) 427-0674, and are updated daily (when
possible).  Documentation and tracking software are also available on this
system.  As a service to the satellite user community, the most current
elements for the current shuttle mission are provided below.  The Celestial
BBS may be accessed 24 hours/day at 300, 1200, 2400, 4800, or 9600 bps using
8 data bits, 1 stop bit, no parity.

Element sets (also updated daily), shuttle elements, and some documentation
and software are also available via anonymous ftp from archive.afit.af.mil
(129.92.1.66) in the directory pub/space.

STS 56     
1 22621U 93 23  A 93105.06179397  .00044513  00000-0  12649-3 0   230
2 22621  57.0022 147.2850 0004246 288.7332  38.0941 15.92991629  1084
1993 023B  
1 22623U 93 23  B 93103.37312705  .00041032  00000-0  11888-3 0    86
2 22623  57.0000 155.1150 0004422 293.4650  66.5967 15.92653917   803"
sci.space,"
There was a recession, and none of the potential entrants could raise any
money.  The race organizers were actually supposed to be handling part of
the fundraising, but the less said about that the better."
