name,author,ingredients,steps,link
蓝莓山药奶昔,兰杏梅,蓝莓、山药、纯牛奶。,"1.铁棍山药备用。
2.削皮，切小段。
3.放入蒸锅。
4.蒸二十分钟左右即可。
5.蒸熟放入盘中。
6.蓝莓洗净备用。
7.纯牛奶备用。
8.全部食材倒入破壁机中。
9.按果蔬汁模式。
10.已打好。
11.如图所示。……",https://home.meishichina.com/recipe-666866.html
沙葱炒肉,_蒍鉨变乖々,洋葱、板筋肉、花生油、蚝油、盐。,"1.洋葱处理好洗净备用。
2.板筋瘦肉洗净切细。
3.锅中热油放入瘦肉炒干水份。
4.加入适量蚝油调味。
5.放入沙葱，大火快速翻炒。
6.少许盐调味。
7.翻炒均匀即可。
8.成品。
9.成品。
10.成品。
11.成……",https://home.meishichina.com/recipe-666791.html
鸭血粉丝汤,味趣,鸭血、鸡胗、鸡肝、粉丝、豆泡、香菜、葱花、油菜、醋。,"1.准备汤。现成的鸭汤加1/3的清水浸泡粉丝和鸭血。注意因为煮盐水鸭的汤偏咸，所以可不用额外加咸的调料。
2.油菜提前焯水去草酸。
3.汤泡20分钟后开始大火煮到粉丝熟透，可以尝一下是不是熟透了，之后放豆……",https://home.meishichina.com/recipe-666853.html
盐水鸭,味趣,鸭腿、盐、花椒、葱姜、八角。,"1.准备好盐、花椒。洗干净的鸭腿放到深点的盆里备着。
2.锅大火烧热，转小火，放10g盐炒到微黄，翻啊翻，拌啊拌。
3.放一小撮花椒，很快就能闻到花椒香味，翻拌几下就关火。
4.将花椒盐倒进鸭腿，这时盐很烫……",https://home.meishichina.com/recipe-666851.html
橙子炖猪排,金凤栖梧,梅花肉、橙子、生抽、蚝油、料洒、白糖、黑胡椒粉、玉米油、蒜片、盐。,"1.梅花肉切片，用刀背敲肉片。两边全都敲一下。
2.加入胡椒粉，蒜片，盐抓匀腌50分钟。
3.油热下入肉片煎至两面金黄捞出。
4.下入蒜片炒香。
5.香橙切片，留一半不切。
6.再倒入肉片，加生抽，白糖，料酒，……",https://home.meishichina.com/recipe-666837.html
蒸山药乳鸽,seiseizhang,乳鸽、红枣、山药、小葱、生姜片、料酒。,,https://home.meishichina.com/recipe-666836.html
炖木瓜,seiseizhang,木瓜、燕窝、桃胶、冰糖。,,https://home.meishichina.com/recipe-666835.html
玉米甘蔗水,金凤栖梧,玉米、甘蔗、胡萝卜、冰糖、白糖。,,https://home.meishichina.com/recipe-666834.html
清蒸带鱼,美食家_XYDl_jjVM,帶鱼、水、料酒。,,https://home.meishichina.com/recipe-666830.html
紫米山药粥,兰杏梅,紫糯米、大米、山药、纯净水。,,https://home.meishichina.com/recipe-666825.html
粉葛茯苓猪骨汤,rosejyy2000,猪骨、粉葛、党参、玉竹、土茯苓粒、赤小豆、扁豆、苕实、杞籽、红枣、花生、生姜、精盐。,"1.笔者会预先买一些经常用来煲汤的材料，分别用盒子装好，用时就按需取出；
2.隔夜预先把党参约15小根、玉竹1把、土茯苓粒1/4杯、赤小豆1/4杯、扁豆1/4杯、苕实1/4杯泡水；
3.把粉葛切成小方块，……",https://home.meishichina.com/recipe-666824.html
红烧荷包蛋,独乐乐不如众乐乐,荷包蛋、生抽、老抽、料酒、糖、水。,"1.煎3个蛋。
2.准备酱汁，然后酱汁与荷包蛋，一起煮，期间荷包蛋翻一下面，让酱汁吸收到荷包蛋里，完成，可以吃了！
3.香喷喷的红烧荷包蛋就做好了！",https://home.meishichina.com/recipe-666554.html
茄子鸡肉,独乐乐不如众乐乐,茄子、鸡腿、蒜、葱白、水淀粉、茄汁、酱油、糖、料酒、水,"1.茄子洗净，切块。
2.鸡腿去骨，也可以直接买去骨鸡腿肉。如果去骨鸡腿肉有多余骨头就用剪刀剔掉。
3.切块。
4.洗净沥干。
5.准备酱汁。
6.准备葱白和蒜。
7.热锅下油，下葱白和蒜瓣炒香。把鸡肉和茄子一起……",https://home.meishichina.com/recipe-666823.html
雪碧糖醋排骨,金凤栖梧,排骨、雪碧、香醋、生抽、老抽、糖、葱、姜、花椒粒、八角、盐、玉米油、白芝麻。,"1.排骨加葱姜焯水。
2.捞出洗净擦去水分，放入盘中，调料汁调出。
3.油热煎排骨，至两面金黄。
4.加葱姜，八角，花椒粒炒香。
5.加入1罐雪碧，电压力锅选择红烧。
6.压好的。
7.再入大勺大火收汤，撒上白芝……",https://home.meishichina.com/recipe-666822.html
蓝莓黑芝麻豆浆,兰杏梅,蓝莓、熟黑芝麻、黄豆、纯净水。,"1.蓝莓洗净备用。
2.黄豆浸泡6-12小时。
3.熟黑芝麻备用。
4.蓝莓和黄豆加纯净水一起倒入破壁机中。
5.启动10分快糊功能键，熟黑芝麻最后10分钟加，已打好。
6.盛入碗中。
7.又香又浓稠。
8.又健康……",https://home.meishichina.com/recipe-666816.html
鼠曲草馒头,清水淡竹,面粉、酵母、鼠曲草泥、白糖、猪油。,,https://home.meishichina.com/recipe-666809.html
萝卜馅素包子,金凤栖梧,红萝卜、面粉、玉米面、温水、干酵母粉、生抽、蚝油、花椒粉、香油、鸡精、盐、玉米油、葱花。,,https://home.meishichina.com/recipe-666799.html
