编号,年龄,性别,学历,国家,日均上网时长(小时),是否影响学业,日均睡眠(小时),心理健康评分,感情状况,社交媒体冲突次数,网络成瘾评分,平台_Facebook,平台_Instagram,平台_KakaoTalk,平台_LINE,平台_LinkedIn,平台_Snapchat,平台_TikTok,平台_Twitter,平台_VKontakte,平台_WeChat,平台_WhatsApp,平台_YouTube,网络成瘾_正向,网络使用深度得分,学习状态得分,身心健康得分
1,19,0,Undergraduate,Bangladesh,5.2,1,6.5,6,1,3,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.119047619047619,0,2.163793103448276
2,22,1,Graduate,India,2.1,0,7.5,8,0,0,3,False,False,False,False,False,False,False,True,False,False,False,False,7,1.5714285714285714,5,3.594827586206897
3,20,0,Undergraduate,USA,6.0,1,5.0,5,2,4,9,False,False,False,False,False,False,True,False,False,False,False,False,1,2.404761904761905,0,1.017241379310345
4,18,1,High School,UK,3.0,0,7.0,7,0,1,4,False,False,False,False,False,False,False,False,False,False,False,True,6,1.880952380952381,5,2.879310344827586
5,21,1,Graduate,Canada,4.5,1,6.0,6,1,2,7,True,False,False,False,False,False,False,False,False,False,False,False,3,1.8571428571428572,0,1.9482758620689655
6,19,0,Undergraduate,Australia,7.2,1,4.5,4,2,5,9,False,True,False,False,False,False,False,False,False,False,False,False,1,3.0238095238095237,0,0.3017241379310346
7,23,1,Graduate,Germany,1.5,0,8.0,9,0,0,2,False,False,False,False,True,False,False,False,False,False,False,False,8,1.6666666666666665,5,4.310344827586206
8,20,0,Undergraduate,Brazil,5.8,1,6.0,6,1,2,8,False,False,False,False,False,True,False,False,False,False,False,False,2,1.9285714285714284,0,1.9482758620689655
9,18,1,High School,Japan,4.0,0,6.5,7,0,1,5,False,False,False,False,False,False,True,False,False,False,False,False,5,1.880952380952381,5,2.663793103448276
10,21,0,Graduate,South Korea,3.3,0,7.0,7,1,1,4,False,True,False,False,False,False,False,False,False,False,False,False,6,1.9523809523809523,5,2.879310344827586
11,19,1,Undergraduate,France,4.8,1,6.2,5,2,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.261904761904762,0,1.53448275862069
12,20,0,Undergraduate,Spain,5.5,1,5.8,6,1,2,8,False,False,False,False,False,False,True,False,False,False,False,False,2,1.8571428571428572,0,1.8620689655172415
13,22,1,Graduate,Italy,2.8,0,7.2,8,0,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8333333333333335,5,3.4655172413793105
14,18,0,High School,Mexico,6.5,1,5.5,5,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.5238095238095237,0,1.2327586206896552
15,21,1,Undergraduate,Russia,3.7,0,6.8,7,1,2,5,False,False,False,False,False,False,False,False,False,False,False,True,5,2.1428571428571432,5,2.793103448275862
16,20,0,Undergraduate,China,4.2,1,6.0,6,2,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.119047619047619,0,1.9482758620689655
17,24,1,Graduate,Sweden,2.0,0,7.8,8,0,0,3,False,False,False,False,True,False,False,False,False,False,False,False,7,1.5476190476190474,5,3.724137931034483
18,19,0,High School,Norway,5.0,1,5.7,5,1,3,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.0714285714285716,0,1.3189655172413794
19,21,1,Undergraduate,Denmark,3.5,0,6.7,7,0,1,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.761904761904762,5,2.75
20,20,0,Undergraduate,Netherlands,4.7,1,5.9,6,2,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.238095238095238,0,1.9051724137931036
21,18,1,High School,Belgium,5.3,1,5.5,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4761904761904763,0,1.2327586206896552
22,23,0,Graduate,Switzerland,2.5,0,7.3,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.761904761904762,5,3.5086206896551726
23,19,1,Undergraduate,Austria,4.9,1,5.8,6,2,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.2857142857142856,0,1.8620689655172415
24,20,0,Undergraduate,Portugal,5.7,1,5.4,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.571428571428571,0,1.1896551724137934
25,22,1,Graduate,Greece,3.2,0,6.9,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.023809523809524,5,2.836206896551724
26,19,0,High School,Ireland,6.1,1,5.2,5,2,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.428571428571429,0,1.1034482758620692
27,21,1,Undergraduate,New Zealand,3.8,0,6.6,7,0,1,5,False,False,False,False,False,False,False,False,False,False,False,True,5,1.8333333333333335,5,2.706896551724138
28,20,0,Undergraduate,Singapore,4.4,1,5.9,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.1666666666666665,0,1.9051724137931036
29,24,1,Graduate,Malaysia,2.2,0,7.4,8,0,0,3,False,False,False,False,True,False,False,False,False,False,False,False,7,1.5952380952380951,5,3.5517241379310347
30,19,0,High School,Thailand,5.9,1,5.3,5,2,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.619047619047619,0,1.146551724137931
31,21,1,Undergraduate,Vietnam,3.6,0,6.7,7,0,1,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.7857142857142858,5,2.75
32,20,0,Undergraduate,Philippines,4.8,1,5.7,6,1,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.261904761904762,0,1.8189655172413794
33,18,1,High School,Indonesia,5.4,1,5.4,5,2,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5,0,1.1896551724137934
34,23,0,Graduate,Taiwan,2.6,0,7.2,8,0,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.785714285714286,5,3.4655172413793105
35,19,1,Undergraduate,Hong Kong,4.7,1,5.8,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,1.8620689655172415
36,20,0,Undergraduate,Turkey,5.6,1,5.5,5,2,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5476190476190474,0,1.2327586206896552
37,22,1,Graduate,Israel,3.1,0,6.8,7,0,1,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.6666666666666665,5,2.793103448275862
38,19,0,High School,UAE,6.2,1,5.1,5,1,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.4523809523809526,0,1.0603448275862069
39,21,1,Undergraduate,Egypt,3.9,0,6.5,7,2,2,6,False,False,False,False,False,False,False,False,False,False,False,True,4,1.9523809523809523,5,2.663793103448276
40,20,0,Undergraduate,Morocco,4.5,1,5.8,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.1904761904761902,0,1.8620689655172415
41,24,1,Graduate,South Africa,2.3,0,7.3,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.714285714285714,5,3.5086206896551726
42,19,0,High School,Nigeria,5.8,1,5.4,5,2,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.595238095238095,0,1.1896551724137934
43,21,1,Undergraduate,Kenya,3.7,0,6.6,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.1428571428571432,5,2.706896551724138
44,20,0,Undergraduate,Ghana,4.6,1,5.7,6,1,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.214285714285714,0,1.8189655172413794
45,18,1,High School,Argentina,5.5,1,5.3,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5238095238095237,0,1.146551724137931
46,23,0,Graduate,Chile,2.7,0,7.1,8,2,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8095238095238098,5,3.4224137931034484
47,19,1,Undergraduate,Colombia,4.8,1,5.9,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.261904761904762,0,1.9051724137931036
48,20,0,Undergraduate,Peru,5.5,1,5.6,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5238095238095237,0,1.275862068965517
49,22,1,Graduate,Venezuela,3.3,0,6.7,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.047619047619048,5,2.75
50,19,0,High School,Ecuador,6.3,1,5.2,5,2,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.4761904761904763,0,1.1034482758620692
51,21,1,Undergraduate,Uruguay,3.8,0,6.4,7,0,2,6,False,False,False,False,False,False,False,False,False,False,False,True,4,1.9285714285714286,5,2.620689655172414
52,20,0,Undergraduate,Paraguay,4.7,1,5.8,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.238095238095238,0,1.8620689655172415
53,24,1,Graduate,Bolivia,2.4,0,7.2,8,2,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.7380952380952384,5,3.4655172413793105
54,19,0,High School,Costa Rica,5.7,1,5.5,5,0,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.571428571428571,0,1.2327586206896552
55,21,1,Undergraduate,Panama,3.6,0,6.5,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.119047619047619,5,2.663793103448276
56,20,0,Undergraduate,Jamaica,4.9,1,5.6,6,2,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.2857142857142856,0,1.7758620689655171
57,18,1,High School,Trinidad,5.6,1,5.2,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5476190476190474,0,1.1034482758620692
58,23,0,Graduate,Bahamas,2.8,0,7.0,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8333333333333335,5,3.3793103448275863
59,19,1,Undergraduate,Iceland,4.6,1,5.9,6,2,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,1.9051724137931036
60,20,0,Undergraduate,Finland,5.4,1,5.7,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5,0,1.3189655172413794
61,22,1,Graduate,Poland,3.1,0,7.1,7,0,1,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.6666666666666665,5,2.9224137931034484
62,19,0,Undergraduate,Romania,5.6,1,5.6,5,1,3,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.214285714285714,0,1.275862068965517
63,20,1,Undergraduate,Hungary,4.2,1,6.0,6,2,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.119047619047619,0,1.9482758620689655
64,18,0,High School,Czech Republic,6.1,1,5.2,4,0,4,9,False,False,False,False,False,True,False,False,False,False,False,False,1,2.428571428571429,0,0.6034482758620692
65,23,1,Graduate,Slovakia,2.3,0,7.4,8,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,7,1.952380952380952,5,3.5517241379310347
66,21,0,Undergraduate,Croatia,4.8,1,5.8,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.261904761904762,0,1.8620689655172415
67,20,1,Undergraduate,Serbia,3.9,0,6.5,7,2,2,6,False,False,False,False,False,False,False,False,False,False,False,True,4,1.9523809523809523,5,2.663793103448276
68,19,0,High School,Slovenia,5.7,1,5.4,5,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.571428571428571,0,1.1896551724137934
69,22,1,Graduate,Bulgaria,2.8,0,7.2,8,0,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8333333333333335,5,3.4655172413793105
