产品名称,品牌,功效标签,售价,容量规格,成分列表,用户使用评论,source_site,source_url
[新日期]韩国AHC水乳套装神仙水套盒护肤套装B5玻尿酸爽肤水清爽保湿补水,[新日期]韩国A,保湿；补水,¥108.00到手价,,玻尿酸；B5,500+评价,万运国际海外专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
Whoo后套装盒套装护肤化妆品保湿 面部护肤套装礼盒 雪玉凝水乳面霜六件套(嫩白提亮),Whoo后套装盒套装护肤化妆品保湿,保湿；提亮,¥469.00,,,5评价,维港美妆海外专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
雅诗兰黛Estee Lauder红石榴排浊护肤三件套装套盒「倍润精华水+洗面奶+面霜」红石榴面部护肤套装礼盒女士新版,雅诗兰黛Estee,,¥508.00到手价,,,40+评价,梵诗理美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
新款 Sulwhasoo雪花秀滋盈肌本舒活水乳护肤品礼盒水乳套装淡纹抗老补水保湿两件套升级增量版 护肤化妆品套盒套装,新款,保湿；补水,¥218.00到手价,,,20+评价,梵诗理美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
雅诗兰黛EsteeLauder多效智妍三件套(原生液200ml+小棕瓶精华50ml+智妍面霜75ml)护肤套装 送礼,雅诗兰黛EsteeLauder多效智妍三件套,,¥1118.00到手价,200ml；50ml；75ml,,40+评价,梵诗理美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
Whoo后套装盒套装护肤化妆品保湿面部护肤套装礼盒 后天气丹pro水乳霜七件套 新版升级,Whoo后套装盒套装护肤化妆品保湿面部护肤套装礼盒,保湿,¥619.00,,,5评价,维港美妆海外专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
海蓝之谜(LA MER)精萃水150ml +海蓝之谜乳液125ml,海蓝之谜,,¥1399.00到手价,150ml；125ml,,2评价,Venaes美妆海外旗舰店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
(PECHOIN)百雀羚套装护肤套装 恒采新颜臻萃礼盒5件套 洁面+水+乳+精华+面霜 保湿补水,(PECHOIN,保湿；补水,¥299.00,,,1300+评价,岑美美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
韩国WHOO 后 水妍水乳霜套盒清爽补水护肤品2件套 套装 拱辰享水妍水沄系列水乳礼盒6件套护肤套装,韩国WHOO,补水,¥328.00到手价,,,80+评价,梵诗理美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
(PECHOIN)百雀羚套装护肤套装 肌初赋活致臻套装第三代精华液版 精华水+精华乳+菁华霜+精华液+2面膜 保湿补水,(PECHOIN,保湿；补水,¥289.00,,,20+评价,岑美美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
韩国Whoo后套装套盒 津率享红华凝香水乳面霜七件套 津率享水乳霜系列套盒女士面部护肤套装礼盒水润滋养 送女友礼物,韩国Whoo后套装套盒,,¥618.00到手价,,,200+评价,SHOUDU GUOJI海外旗舰店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
(Kans)韩束套装礼盒护肤套装 聚时光礼盒五件套 洁面+水+乳+面霜+眼霜 保湿补水,(Kans)韩束,保湿；补水,¥249.00,,,100+评价,岑美美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
(MEIFUBAO)美肤宝套装护肤套装 玉露润颜保湿礼盒 洁肤晶露100ml+养肤水120ml+保湿乳液100ml,(MEIFUBA,保湿,¥139.00,100ml；120ml,,100+评价,岑美美妆专营店,https://search.suning.com/%E7%BE%8E%E5%A6%86%E6%8A%A4%E8%82%A4/
